gene_name	target_id	length	eff_length	est_counts	tpm	gene_id	transcript_name
AATK	ENST00000326724.8|ENSG00000181409.12|OTTHUMG00000132717.5|OTTHUMT00000256055.1|AATK-201|AATK|5257|protein_coding|	5257	5035.73	0.0	0.0	ENSG00000181409.12	AATK-201
ABAT	ENST00000268251.12|ENSG00000183044.11|OTTHUMG00000048201.5|OTTHUMT00000109648.2|ABAT-201|ABAT|4836|protein_coding|	4836	4614.73	6.31075	0.00977611	ENSG00000183044.11	ABAT-201
ABCA1	ENST00000374736.7|ENSG00000165029.15|OTTHUMG00000020417.1|OTTHUMT00000053491.1|ABCA1-202|ABCA1|10494|protein_coding|	10494	10272.7	0.0	0.0	ENSG00000165029.15	ABCA1-202
ABCA10	ENST00000522787.5|ENSG00000154263.17|OTTHUMG00000164716.6|OTTHUMT00000379993.2|ABCA10-207|ABCA10|362|protein_coding|	362	141.524	0.0	0.0	ENSG00000154263.17	ABCA10-207
ABCA12	ENST00000272895.11|ENSG00000144452.14|OTTHUMG00000154801.3|OTTHUMT00000337111.1|ABCA12-201|ABCA12|9100|protein_coding|	9100	8878.73	0.0	0.0	ENSG00000144452.14	ABCA12-201
ABCA13	ENST00000411975.5|ENSG00000179869.14|OTTHUMG00000155840.6|OTTHUMT00000341966.2|ABCA13-201|ABCA13|4480|protein_coding|	4480	4258.73	18.2488	0.0306327	ENSG00000179869.14	ABCA13-201
ABCA2	ENST00000265662.9|ENSG00000107331.16|OTTHUMG00000020958.5|-|ABCA2-201|ABCA2|8154|protein_coding|	8154	7932.73	286.61	0.258285	ENSG00000107331.16	ABCA2-201
ABCA3	ENST00000382381.7|ENSG00000167972.13|OTTHUMG00000128845.2|OTTHUMT00000435440.1|ABCA3-202|ABCA3|6446|protein_coding|	6446	6224.73	825.652	0.948217	ENSG00000167972.13	ABCA3-202
ABCA4	ENST00000536513.5|ENSG00000198691.12|OTTHUMG00000010622.4|-|ABCA4-207|ABCA4|3740|protein_coding|	3740	3518.73	0.0	0.0	ENSG00000198691.12	ABCA4-207
ABCA5	ENST00000588877.5|ENSG00000154265.15|OTTHUMG00000180303.3|OTTHUMT00000450655.1|ABCA5-208|ABCA5|6525|protein_coding|	6525	6303.73	34.1436	0.0387207	ENSG00000154265.15	ABCA5-208
ABCA6	ENST00000284425.6|ENSG00000154262.12|OTTHUMG00000180258.1|OTTHUMT00000450463.1|ABCA6-201|ABCA6|5300|protein_coding|	5300	5078.73	1.59039	0.00223862	ENSG00000154262.12	ABCA6-201
ABCA7	ENST00000263094.10|ENSG00000064687.12|OTTHUMG00000167547.7|-|ABCA7-201|ABCA7|6816|protein_coding|	6816	6594.73	1694.16	1.83649	ENSG00000064687.12	ABCA7-201
ABCA8	ENST00000430352.6|ENSG00000141338.13|OTTHUMG00000180192.4|-|ABCA8-203|ABCA8|5823|protein_coding|	5823	5601.73	284.233	0.362731	ENSG00000141338.13	ABCA8-203
ABCA9	ENST00000495634.5|ENSG00000154258.16|OTTHUMG00000140371.3|OTTHUMT00000277074.2|ABCA9-207|ABCA9|1428|protein_coding|	1428	1206.73	82.4847	0.488646	ENSG00000154258.16	ABCA9-207
ABCB1	ENST00000416177.1|ENSG00000085563.14|OTTHUMG00000023393.26|OTTHUMT00000335739.2|ABCB1-202|ABCB1|461|protein_coding|	461	239.798	5.82963	0.173791	ENSG00000085563.14	ABCB1-202
ABCB10	ENST00000344517.4|ENSG00000135776.4|OTTHUMG00000039471.1|OTTHUMT00000095240.1|ABCB10-201|ABCB10|3857|protein_coding|	3857	3635.73	5855.07	11.5126	ENSG00000135776.4	ABCB10-201
ABCB11	ENST00000263817.7|ENSG00000073734.9|OTTHUMG00000154039.5|OTTHUMT00000333616.4|ABCB11-201|ABCB11|6933|protein_coding|	6933	6711.73	9.00284	0.00958907	ENSG00000073734.9	ABCB11-201
ABCB4	ENST00000453593.5|ENSG00000005471.17|OTTHUMG00000023396.20|OTTHUMT00000345430.2|ABCB4-206|ABCB4|3699|protein_coding|	3699	3477.73	12.3801	0.0254484	ENSG00000005471.17	ABCB4-206
ABCB5	ENST00000404938.6|ENSG00000004846.16|OTTHUMG00000094789.7|OTTHUMT00000326736.2|ABCB5-202|ABCB5|5811|protein_coding|	5811	5589.73	9.57871	0.0122503	ENSG00000004846.16	ABCB5-202
ABCB6	ENST00000265316.8|ENSG00000115657.13|OTTHUMG00000133131.6|OTTHUMT00000256820.4|ABCB6-201|ABCB6|3045|protein_coding|	3045	2823.73	1277.84	3.23507	ENSG00000115657.13	ABCB6-201
ABCB7	ENST00000526404.1|ENSG00000131269.16|OTTHUMG00000021862.8|OTTHUMT00000394110.2|ABCB7-206|ABCB7|550|protein_coding|	550	328.775	205.131	4.4603	ENSG00000131269.16	ABCB7-206
ABCB8	ENST00000477092.5|ENSG00000197150.12|OTTHUMG00000158686.4|OTTHUMT00000351740.1|ABCB8-211|ABCB8|1596|protein_coding|	1596	1374.73	897.989	4.66966	ENSG00000197150.12	ABCB8-211
ABCB9	ENST00000280560.12|ENSG00000150967.17|OTTHUMG00000168769.6|OTTHUMT00000400953.2|ABCB9-201|ABCB9|3517|protein_coding|	3517	3295.73	272.418	0.590902	ENSG00000150967.17	ABCB9-201
ABCC1	ENST00000399410.7|ENSG00000103222.18|OTTHUMG00000048267.5|OTTHUMT00000109701.1|ABCC1-202|ABCC1|6552|protein_coding|	6552	6330.73	2538.13	2.8661	ENSG00000103222.18	ABCC1-202
ABCC10	ENST00000372530.8|ENSG00000124574.14|OTTHUMG00000014733.4|OTTHUMT00000040603.2|ABCC10-204|ABCC10|5033|protein_coding|	5033	4811.73	906.559	1.34687	ENSG00000124574.14	ABCC10-204
ABCC11	ENST00000353782.9|ENSG00000121270.15|OTTHUMG00000133146.4|OTTHUMT00000256844.1|ABCC11-201|ABCC11|4463|protein_coding|	4463	4241.73	19.0	0.0320215	ENSG00000121270.15	ABCC11-201
ABCC12	ENST00000311303.7|ENSG00000140798.16|OTTHUMG00000133143.5|OTTHUMT00000256837.1|ABCC12-201|ABCC12|5168|protein_coding|	5168	4946.73	0.0	0.0	ENSG00000140798.16	ABCC12-201
ABCC2	ENST00000370449.9|ENSG00000023839.11|OTTHUMG00000018895.7|OTTHUMT00000049825.4|ABCC2-202|ABCC2|5714|protein_coding|	5714	5492.73	11.0	0.0143165	ENSG00000023839.11	ABCC2-202
ABCC3	ENST00000515707.1|ENSG00000108846.15|OTTHUMG00000162245.5|OTTHUMT00000368088.1|ABCC3-217|ABCC3|656|protein_coding|	656	434.761	0.0	0.0	ENSG00000108846.15	ABCC3-217
ABCC4	ENST00000376887.9|ENSG00000125257.14|OTTHUMG00000017216.10|OTTHUMT00000496757.1|ABCC4-201|ABCC4|5841|protein_coding|	5841	5619.73	1348.68	1.71563	ENSG00000125257.14	ABCC4-201
ABCC5	ENST00000427120.6|ENSG00000114770.16|OTTHUMG00000156871.2|OTTHUMT00000346355.1|ABCC5-205|ABCC5|4697|protein_coding|	4697	4475.73	1252.12	1.99993	ENSG00000114770.16	ABCC5-205
ABCC6	ENST00000205557.11|ENSG00000091262.15|OTTHUMG00000129967.5|OTTHUMT00000252232.2|ABCC6-201|ABCC6|5747|protein_coding|	5747	5525.73	6.37564	0.00824832	ENSG00000091262.15	ABCC6-201
ABCC8	ENST00000644772.1|ENSG00000006071.13|OTTHUMG00000166316.33|OTTHUMT00000496811.1|ABCC8-238|ABCC8|5336|protein_coding|	5336	5114.73	21.0	0.0293513	ENSG00000006071.13	ABCC8-238
ABCC9	ENST00000261200.8|ENSG00000069431.11|OTTHUMG00000169094.4|OTTHUMT00000402228.2|ABCC9-201|ABCC9|8293|protein_coding|	8293	8071.73	110.101	0.097512	ENSG00000069431.11	ABCC9-201
ABCD1	ENST00000218104.5|ENSG00000101986.11|OTTHUMG00000024215.3|OTTHUMT00000061041.1|ABCD1-201|ABCD1|3664|protein_coding|	3664	3442.73	354.351	0.735803	ENSG00000101986.11	ABCD1-201
ABCD2	ENST00000308666.3|ENSG00000173208.3|OTTHUMG00000169337.1|OTTHUMT00000403591.1|ABCD2-201|ABCD2|6238|protein_coding|	6238	6016.73	0.0	0.0	ENSG00000173208.3	ABCD2-201
ABCD3	ENST00000647998.1|ENSG00000117528.12|OTTHUMG00000010717.2|OTTHUMT00000500928.1|ABCD3-207|ABCD3|527|protein_coding|	527	305.775	198.331	4.63681	ENSG00000117528.12	ABCD3-207
ABCD4	ENST00000356924.8|ENSG00000119688.20|OTTHUMG00000171207.1|OTTHUMT00000314382.1|ABCD4-201|ABCD4|3003|protein_coding|	3003	2781.73	148.722	0.382202	ENSG00000119688.20	ABCD4-201
ABCE1	ENST00000296577.8|ENSG00000164163.10|OTTHUMG00000161478.3|OTTHUMT00000365104.1|ABCE1-201|ABCE1|3921|protein_coding|	3921	3699.73	9446.19	18.2523	ENSG00000164163.10	ABCE1-201
ABCF1	ENST00000441867.5|ENSG00000204574.12|OTTHUMG00000031094.7|OTTHUMT00000076138.5|ABCF1-203|ABCF1|1074|protein_coding|	1074	852.731	2097.65	17.5854	ENSG00000204574.12	ABCF1-203
ABCF2	ENST00000287844.6|ENSG00000033050.8|OTTHUMG00000192398.1|OTTHUMT00000336086.1|ABCF2-201|ABCF2|3546|protein_coding|	3546	3324.73	8100.81	17.4182	ENSG00000033050.8	ABCF2-201
ABCF3	ENST00000429586.6|ENSG00000161204.11|OTTHUMG00000156824.1|OTTHUMT00000346047.1|ABCF3-203|ABCF3|2624|protein_coding|	2624	2402.73	2148.63	6.39276	ENSG00000161204.11	ABCF3-203
ABCG1	ENST00000398457.6|ENSG00000160179.18|OTTHUMG00000086791.4|OTTHUMT00000195314.1|ABCG1-206|ABCG1|3119|protein_coding|	3119	2897.73	0.0	0.0	ENSG00000160179.18	ABCG1-206
ABCG2	ENST00000515655.5|ENSG00000118777.11|OTTHUMG00000130601.6|OTTHUMT00000363319.1|ABCG2-204|ABCG2|4276|protein_coding|	4276	4054.73	2.0	0.00352614	ENSG00000118777.11	ABCG2-204
ABCG4	ENST00000615496.4|ENSG00000172350.9|OTTHUMG00000166169.6|OTTHUMT00000388215.3|ABCG4-204|ABCG4|2459|protein_coding|	2459	2237.73	6.0	0.0191679	ENSG00000172350.9	ABCG4-204
ABCG5	ENST00000260645.5|ENSG00000138075.12|OTTHUMG00000128758.7|OTTHUMT00000250675.1|ABCG5-201|ABCG5|2740|protein_coding|	2740	2518.73	0.0	0.0	ENSG00000138075.12	ABCG5-201
ABCG8	ENST00000645013.1|ENSG00000143921.7|OTTHUMG00000128756.5|OTTHUMT00000250671.2|ABCG8-204|ABCG8|7186|protein_coding|	7186	6964.73	9.51633	0.0097678	ENSG00000143921.7	ABCG8-204
ABHD1	ENST00000621324.4|ENSG00000143994.13|OTTHUMG00000097072.6|-|ABHD1-207|ABHD1|1078|protein_coding|	1078	856.731	0.0	0.0	ENSG00000143994.13	ABHD1-207
ABHD10	ENST00000273359.7|ENSG00000144827.8|OTTHUMG00000159280.1|OTTHUMT00000354326.1|ABHD10-201|ABHD10|2590|protein_coding|	2590	2368.73	357.76	1.07971	ENSG00000144827.8	ABHD10-201
ABHD11	ENST00000222800.7|ENSG00000106077.18|OTTHUMG00000130029.4|OTTHUMT00000252306.1|ABHD11-201|ABHD11|1483|protein_coding|	1483	1261.73	1031.8	5.84603	ENSG00000106077.18	ABHD11-201
ABHD12	ENST00000339157.9|ENSG00000100997.18|OTTHUMG00000032121.4|OTTHUMT00000078423.2|ABHD12-201|ABHD12|2117|protein_coding|	2117	1895.73	594.69	2.24257	ENSG00000100997.18	ABHD12-201
ABHD12B	ENST00000353130.5|ENSG00000131969.14|OTTHUMG00000140286.4|OTTHUMT00000276867.1|ABHD12B-202|ABHD12B|1477|protein_coding|	1477	1255.73	0.0	0.0	ENSG00000131969.14	ABHD12B-202
ABHD13	ENST00000375898.3|ENSG00000139826.5|OTTHUMG00000017330.1|OTTHUMT00000045743.1|ABHD13-201|ABHD13|5338|protein_coding|	5338	5116.73	682.0	0.952847	ENSG00000139826.5	ABHD13-201
ABHD14A	ENST00000273596.7|ENSG00000248487.8|OTTHUMG00000157818.2|OTTHUMT00000349689.1|ABHD14A-201|ABHD14A|1062|protein_coding|	1062	840.731	227.893	1.93779	ENSG00000248487.8	ABHD14A-201
ABHD14A-ACY1	ENST00000637222.1|ENSG00000114786.16|OTTHUMG00000166447.7|OTTHUMT00000489115.1|ABHD14A-ACY1-222|ABHD14A-ACY1|1048|protein_coding|	1048	826.731	10.8668	0.0939656	ENSG00000114786.16	ABHD14A-ACY1-222
ABHD14B	ENST00000395008.6|ENSG00000114779.19|OTTHUMG00000157816.24|OTTHUMT00000349669.23|ABHD14B-203|ABHD14B|1818|protein_coding|	1818	1596.73	1119.48	5.01207	ENSG00000114779.19	ABHD14B-203
ABHD15	ENST00000307201.4|ENSG00000168792.4|OTTHUMG00000179721.2|OTTHUMT00000447796.2|ABHD15-201|ABHD15|3592|protein_coding|	3592	3370.73	258.684	0.548627	ENSG00000168792.4	ABHD15-201
ABHD16A	ENST00000395952.7|ENSG00000204427.11|OTTHUMG00000031177.7|OTTHUMT00000076342.4|ABHD16A-201|ABHD16A|2103|protein_coding|	2103	1881.73	4604.66	17.4933	ENSG00000204427.11	ABHD16A-201
ABHD16B	ENST00000369916.5|ENSG00000183260.7|OTTHUMG00000033010.2|OTTHUMT00000080254.2|ABHD16B-201|ABHD16B|1491|protein_coding|	1491	1269.73	0.0	0.0	ENSG00000183260.7	ABHD16B-201
ABHD17A	ENST00000292577.11|ENSG00000129968.15|OTTHUMG00000171872.6|OTTHUMT00000415556.2|ABHD17A-202|ABHD17A|1757|protein_coding|	1757	1535.73	5066.8	23.5858	ENSG00000129968.15	ABHD17A-202
ABHD17B	ENST00000377041.6|ENSG00000107362.13|OTTHUMG00000020001.1|OTTHUMT00000052624.1|ABHD17B-202|ABHD17B|1312|protein_coding|	1312	1090.73	436.584	2.86142	ENSG00000107362.13	ABHD17B-202
ABHD17C	ENST00000560609.1|ENSG00000136379.11|OTTHUMG00000172282.1|OTTHUMT00000417651.1|ABHD17C-205|ABHD17C|627|protein_coding|	627	405.761	0.0	0.0	ENSG00000136379.11	ABHD17C-205
ABHD18	ENST00000444616.5|ENSG00000164074.15|OTTHUMG00000133304.6|OTTHUMT00000257098.2|ABHD18-203|ABHD18|2129|protein_coding|	2129	1907.73	216.606	0.811681	ENSG00000164074.15	ABHD18-203
ABHD2	ENST00000352732.9|ENSG00000140526.17|OTTHUMG00000148684.5|OTTHUMT00000309074.2|ABHD2-201|ABHD2|8735|protein_coding|	8735	8513.73	5943.65	4.99074	ENSG00000140526.17	ABHD2-201
ABHD3	ENST00000580477.1|ENSG00000158201.9|OTTHUMG00000179099.2|OTTHUMT00000445563.1|ABHD3-208|ABHD3|291|protein_coding|	291	71.0554	35.0	3.5213	ENSG00000158201.9	ABHD3-208
ABHD4	ENST00000428304.6|ENSG00000100439.10|OTTHUMG00000028686.7|OTTHUMT00000071623.5|ABHD4-203|ABHD4|3366|protein_coding|	3366	3144.73	190.374	0.432768	ENSG00000100439.10	ABHD4-203
ABHD5	ENST00000458276.7|ENSG00000011198.9|OTTHUMG00000133039.9|OTTHUMT00000495495.1|ABHD5-205|ABHD5|1241|protein_coding|	1241	1019.73	251.974	1.76645	ENSG00000011198.9	ABHD5-205
ABHD6	ENST00000478253.5|ENSG00000163686.14|OTTHUMG00000159150.2|OTTHUMT00000353511.1|ABHD6-205|ABHD6|2482|protein_coding|	2482	2260.73	164.394	0.51984	ENSG00000163686.14	ABHD6-205
ABHD8	ENST00000247706.3|ENSG00000127220.5|OTTHUMG00000182663.2|OTTHUMT00000462937.1|ABHD8-201|ABHD8|2090|protein_coding|	2090	1868.73	306.656	1.1731	ENSG00000127220.5	ABHD8-201
ABI1	ENST00000376166.5|ENSG00000136754.17|OTTHUMG00000017848.3|OTTHUMT00000047285.1|ABI1-209|ABI1|3441|protein_coding|	3441	3219.73	1643.96	3.6501	ENSG00000136754.17	ABI1-209
ABI2	ENST00000261017.9|ENSG00000138443.15|OTTHUMG00000132879.15|OTTHUMT00000256368.2|ABI2-202|ABI2|6484|protein_coding|	6484	6262.73	716.693	0.81809	ENSG00000138443.15	ABI2-202
ABI3	ENST00000225941.5|ENSG00000108798.8|OTTHUMG00000161306.2|OTTHUMT00000364475.1|ABI3-201|ABI3|2109|protein_coding|	2109	1887.73	0.0	0.0	ENSG00000108798.8	ABI3-201
ABI3BP	ENST00000471714.5|ENSG00000154175.16|OTTHUMG00000159094.6|OTTHUMT00000353261.1|ABI3BP-206|ABI3BP|6783|protein_coding|	6783	6561.73	0.0	0.0	ENSG00000154175.16	ABI3BP-206
ABL1	ENST00000318560.5|ENSG00000097007.17|OTTHUMG00000020813.3|OTTHUMT00000054684.1|ABL1-201|ABL1|5766|protein_coding|	5766	5544.73	6204.11	7.9989	ENSG00000097007.17	ABL1-201
ABL2	ENST00000502732.5|ENSG00000143322.19|OTTHUMG00000035199.6|OTTHUMT00000085174.3|ABL2-204|ABL2|12144|protein_coding|	12144	11922.7	1446.61	0.867375	ENSG00000143322.19	ABL2-204
ABLIM1	ENST00000392952.7|ENSG00000099204.19|OTTHUMG00000019088.8|OTTHUMT00000050477.2|ABLIM1-206|ABLIM1|6841|protein_coding|	6841	6619.73	2.0002	0.00216006	ENSG00000099204.19	ABLIM1-206
ABLIM2	ENST00000361737.9|ENSG00000163995.19|OTTHUMG00000057427.25|OTTHUMT00000363009.1|ABLIM2-203|ABLIM2|3396|protein_coding|	3396	3174.73	0.0	0.0	ENSG00000163995.19	ABLIM2-203
ABLIM3	ENST00000326685.11|ENSG00000173210.19|OTTHUMG00000129932.3|OTTHUMT00000373439.1|ABLIM3-202|ABLIM3|4164|protein_coding|	4164	3942.73	16.0063	0.0290218	ENSG00000173210.19	ABLIM3-202
ABO	ENST00000538324.2|ENSG00000175164.14|OTTHUMG00000020872.6|-|ABO-202|ABO|1147|protein_coding|	1147	925.731	39.4269	0.304466	ENSG00000175164.14	ABO-202
ABR	ENST00000574544.1|ENSG00000159842.15|OTTHUMG00000090313.18|OTTHUMT00000437272.2|ABR-229|ABR|566|protein_coding|	566	344.761	3.0	0.0622063	ENSG00000159842.15	ABR-229
ABRA	ENST00000311955.3|ENSG00000174429.3|OTTHUMG00000164809.1|OTTHUMT00000380416.1|ABRA-201|ABRA|2755|protein_coding|	2755	2533.73	0.0	0.0	ENSG00000174429.3	ABRA-201
ABRACL	ENST00000367660.3|ENSG00000146386.7|OTTHUMG00000015684.1|OTTHUMT00000042445.1|ABRACL-201|ABRACL|845|protein_coding|	845	623.761	25.0	0.286519	ENSG00000146386.7	ABRACL-201
ABRAXAS1	ENST00000506553.5|ENSG00000163322.13|OTTHUMG00000130429.17|OTTHUMT00000367683.3|ABRAXAS1-206|ABRAXAS1|1869|protein_coding|	1869	1647.73	252.387	1.095	ENSG00000163322.13	ABRAXAS1-206
ABRAXAS2	ENST00000298492.5|ENSG00000165660.7|OTTHUMG00000019218.2|OTTHUMT00000050891.2|ABRAXAS2-201|ABRAXAS2|2992|protein_coding|	2992	2770.73	588.0	1.5171	ENSG00000165660.7	ABRAXAS2-201
ABT1	ENST00000274849.2|ENSG00000146109.4|OTTHUMG00000016319.2|OTTHUMT00000043698.2|ABT1-201|ABT1|2949|protein_coding|	2949	2727.73	4097.0	10.7373	ENSG00000146109.4	ABT1-201
ABTB1	ENST00000232744.12|ENSG00000114626.17|OTTHUMG00000159636.1|OTTHUMT00000356595.1|ABTB1-201|ABTB1|1965|protein_coding|	1965	1743.73	0.0	0.0	ENSG00000114626.17	ABTB1-201
ABTB2	ENST00000435224.2|ENSG00000166016.5|OTTHUMG00000044382.4|OTTHUMT00000388703.3|ABTB2-201|ABTB2|4902|protein_coding|	4902	4680.73	7.55658	0.011541	ENSG00000166016.5	ABTB2-201
AC000120.2	ENST00000435873.1|ENSG00000285772.1|OTTHUMG00000131131.6|OTTHUMT00000342057.2|AC000120.2-202|AC000120.2|556|protein_coding|	556	334.775	0.0	0.0	ENSG00000285772.1	AC000120.2-202
AC000120.3	ENST00000650585.1|ENSG00000285953.1|OTTHUMG00000193355.1|OTTHUMT00000500907.1|AC000120.3-201|AC000120.3|2642|protein_coding|	2642	2420.73	23.6536	0.0698524	ENSG00000285953.1	AC000120.3-201
AC001226.2	ENST00000638101.1|ENSG00000283208.1|OTTHUMG00000191724.1|OTTHUMT00000489761.1|AC001226.2-204|AC001226.2|2645|protein_coding|	2645	2423.73	2.0	0.00589898	ENSG00000283208.1	AC001226.2-204
AC002094.3	ENST00000555059.2|ENSG00000273171.1|OTTHUMG00000171457.3|OTTHUMT00000413500.3|AC002094.3-201|AC002094.3|851|protein_coding|	851	629.761	0.0	0.0	ENSG00000273171.1	AC002094.3-201
AC002310.4	ENST00000568114.1|ENSG00000260869.1|OTTHUMG00000176946.2|OTTHUMT00000434396.2|AC002310.4-201|AC002310.4|377|protein_coding|	377	156.384	0.0	0.0	ENSG00000260869.1	AC002310.4-201
AC002996.1	ENST00000546840.2|ENSG00000257767.2|OTTHUMG00000162267.5|OTTHUMT00000405006.4|AC002996.1-201|AC002996.1|784|protein_coding|	784	562.761	48.2244	0.612596	ENSG00000257767.2	AC002996.1-201
AC003002.1	ENST00000597658.1|ENSG00000268133.1|OTTHUMG00000183282.2|OTTHUMT00000465945.2|AC003002.1-201|AC003002.1|456|protein_coding|	456	234.798	0.0	0.0	ENSG00000268133.1	AC003002.1-201
