gene_name	target_id	length	eff_length	est_counts	tpm	gene_id	transcript_name
AADACL4	ENST00000376221.1|ENSG00000204518.2|OTTHUMG00000001889.1|OTTHUMT00000005328.1|AADACL4-201|AADACL4|1575|protein_coding|	1575	1337.82	0.0	0.0	ENSG00000204518.2	AADACL4-201
AADAT	ENST00000337664.8|ENSG00000109576.13|OTTHUMG00000160912.4|OTTHUMT00000362952.1|AADAT-201|AADAT|2261|protein_coding|	2261	2023.82	2.00092	0.0191464	ENSG00000109576.13	AADAT-201
AAGAB	ENST00000561452.5|ENSG00000103591.12|OTTHUMG00000172246.3|OTTHUMT00000417474.1|AAGAB-207|AAGAB|2251|protein_coding|	2251	2013.82	507.317	4.87853	ENSG00000103591.12	AAGAB-207
AAK1	ENST00000409068.5|ENSG00000115977.18|OTTHUMG00000129648.9|OTTHUMT00000333994.1|AAK1-202|AAK1|2606|protein_coding|	2606	2368.82	411.4	3.36327	ENSG00000115977.18	AAK1-202
AAMDC	ENST00000526415.5|ENSG00000087884.14|OTTHUMG00000166651.2|OTTHUMT00000390976.1|AAMDC-206|AAMDC|579|protein_coding|	579	341.818	27.3258	1.54813	ENSG00000087884.14	AAMDC-206
AAMP	ENST00000248450.8|ENSG00000127837.9|OTTHUMG00000155202.3|OTTHUMT00000338756.2|AAMP-201|AAMP|1886|protein_coding|	1886	1648.82	1061.06	12.4623	ENSG00000127837.9	AAMP-201
AANAT	ENST00000250615.7|ENSG00000129673.9|OTTHUMG00000180179.2|OTTHUMT00000450129.1|AANAT-201|AANAT|1913|protein_coding|	1913	1675.82	3.69123	0.0426553	ENSG00000129673.9	AANAT-201
AAR2	ENST00000320849.8|ENSG00000131043.11|OTTHUMG00000032380.2|OTTHUMT00000276152.1|AAR2-201|AAR2|2430|protein_coding|	2430	2192.82	461.013	4.07137	ENSG00000131043.11	AAR2-201
AARD	ENST00000378279.3|ENSG00000205002.3|OTTHUMG00000164961.1|OTTHUMT00000381195.1|AARD-201|AARD|2299|protein_coding|	2299	2061.82	16.5079	0.15505	ENSG00000205002.3	AARD-201
AARS	ENST00000261772.12|ENSG00000090861.15|OTTHUMG00000177042.7|OTTHUMT00000435021.2|AARS-201|AARS|3477|protein_coding|	3477	3239.82	5556.66	33.2141	ENSG00000090861.15	AARS-201
AARS2	ENST00000244571.4|ENSG00000124608.4|OTTHUMG00000014766.3|OTTHUMT00000040741.2|AARS2-201|AARS2|3854|protein_coding|	3854	3616.82	1038.27	5.55921	ENSG00000124608.4	AARS2-201
AARSD1	ENST00000427569.6|ENSG00000266967.6|OTTHUMG00000153515.8|OTTHUMT00000467729.1|AARSD1-202|AARSD1|1322|protein_coding|	1322	1084.82	357.072	6.37425	ENSG00000266967.6	AARSD1-202
AASDH	ENST00000205214.10|ENSG00000157426.13|OTTHUMG00000128841.5|OTTHUMT00000250780.1|AASDH-201|AASDH|3590|protein_coding|	3590	3352.82	143.556	0.829166	ENSG00000157426.13	AASDH-201
AASDHPPT	ENST00000278618.8|ENSG00000149313.10|OTTHUMG00000166253.2|OTTHUMT00000388734.1|AASDHPPT-201|AASDHPPT|2955|protein_coding|	2955	2717.82	1286.74	9.16852	ENSG00000149313.10	AASDHPPT-201
AASS	ENST00000393376.5|ENSG00000008311.14|OTTHUMG00000157058.1|OTTHUMT00000347300.1|AASS-202|AASS|3233|protein_coding|	3233	2995.82	7.41856	0.047955	ENSG00000008311.14	AASS-202
AATF	ENST00000619387.4|ENSG00000275700.4|OTTHUMG00000188458.2|OTTHUMT00000477299.1|AATF-208|AATF|2141|protein_coding|	2141	1903.82	1762.01	17.923	ENSG00000275700.4	AATF-208
AATK	ENST00000326724.8|ENSG00000181409.12|OTTHUMG00000132717.5|OTTHUMT00000256055.1|AATK-201|AATK|5257|protein_coding|	5257	5019.82	0.0	0.0	ENSG00000181409.12	AATK-201
ABAT	ENST00000268251.12|ENSG00000183044.11|OTTHUMG00000048201.5|OTTHUMT00000109648.2|ABAT-201|ABAT|4836|protein_coding|	4836	4598.82	155.192	0.65351	ENSG00000183044.11	ABAT-201
ABCA1	ENST00000374736.7|ENSG00000165029.15|OTTHUMG00000020417.1|OTTHUMT00000053491.1|ABCA1-202|ABCA1|10494|protein_coding|	10494	10256.8	84.0	0.158597	ENSG00000165029.15	ABCA1-202
ABCA10	ENST00000521538.5|ENSG00000154263.17|OTTHUMG00000164716.6|OTTHUMT00000379994.2|ABCA10-205|ABCA10|531|protein_coding|	531	293.83	1.0	0.0659072	ENSG00000154263.17	ABCA10-205
ABCA12	ENST00000272895.11|ENSG00000144452.14|OTTHUMG00000154801.3|OTTHUMT00000337111.1|ABCA12-201|ABCA12|9100|protein_coding|	9100	8862.82	1209.91	2.64368	ENSG00000144452.14	ABCA12-201
ABCA13	ENST00000411975.5|ENSG00000179869.14|OTTHUMG00000155840.6|OTTHUMT00000341966.2|ABCA13-201|ABCA13|4480|protein_coding|	4480	4242.82	13.1996	0.0602472	ENSG00000179869.14	ABCA13-201
ABCA2	ENST00000614293.4|ENSG00000107331.16|OTTHUMG00000020958.5|-|ABCA2-223|ABCA2|8146|protein_coding|	8146	7908.82	74.1878	0.181656	ENSG00000107331.16	ABCA2-223
ABCA3	ENST00000301732.9|ENSG00000167972.13|OTTHUMG00000128845.2|OTTHUMT00000250784.2|ABCA3-201|ABCA3|6609|protein_coding|	6609	6371.82	983.281	2.98843	ENSG00000167972.13	ABCA3-201
ABCA4	ENST00000536513.5|ENSG00000198691.12|OTTHUMG00000010622.4|-|ABCA4-207|ABCA4|3740|protein_coding|	3740	3502.82	3.12866	0.017297	ENSG00000198691.12	ABCA4-207
ABCA5	ENST00000593153.5|ENSG00000154265.15|OTTHUMG00000180303.3|OTTHUMT00000450661.2|ABCA5-213|ABCA5|3017|protein_coding|	3017	2779.82	178.015	1.24014	ENSG00000154265.15	ABCA5-213
ABCA6	ENST00000284425.6|ENSG00000154262.12|OTTHUMG00000180258.1|OTTHUMT00000450463.1|ABCA6-201|ABCA6|5300|protein_coding|	5300	5062.82	123.597	0.472764	ENSG00000154262.12	ABCA6-201
ABCA7	ENST00000435683.6|ENSG00000064687.12|OTTHUMG00000167547.7|OTTHUMT00000395001.3|ABCA7-203|ABCA7|6211|protein_coding|	6211	5973.82	747.534	2.42331	ENSG00000064687.12	ABCA7-203
ABCA8	ENST00000586539.5|ENSG00000141338.13|OTTHUMG00000180192.4|OTTHUMT00000450174.1|ABCA8-208|ABCA8|5088|protein_coding|	5088	4850.82	4.21533	0.0168285	ENSG00000141338.13	ABCA8-208
ABCA9	ENST00000495634.5|ENSG00000154258.16|OTTHUMG00000140371.3|OTTHUMT00000277074.2|ABCA9-207|ABCA9|1428|protein_coding|	1428	1190.82	21.8931	0.356034	ENSG00000154258.16	ABCA9-207
ABCB1	ENST00000265724.7|ENSG00000085563.14|OTTHUMG00000023393.26|OTTHUMT00000335444.2|ABCB1-201|ABCB1|4645|protein_coding|	4645	4407.82	56.2281	0.247035	ENSG00000085563.14	ABCB1-201
ABCB10	ENST00000344517.4|ENSG00000135776.4|OTTHUMG00000039471.1|OTTHUMT00000095240.1|ABCB10-201|ABCB10|3857|protein_coding|	3857	3619.82	1459.25	7.80678	ENSG00000135776.4	ABCB10-201
ABCB11	ENST00000263817.7|ENSG00000073734.9|OTTHUMG00000154039.5|OTTHUMT00000333616.4|ABCB11-201|ABCB11|6933|protein_coding|	6933	6695.82	1.12143	0.00324339	ENSG00000073734.9	ABCB11-201
ABCB4	ENST00000358400.7|ENSG00000005471.17|OTTHUMG00000023396.20|-|ABCB4-202|ABCB4|3826|protein_coding|	3826	3588.82	150.97	0.814647	ENSG00000005471.17	ABCB4-202
ABCB5	ENST00000404938.6|ENSG00000004846.16|OTTHUMG00000094789.7|OTTHUMT00000326736.2|ABCB5-202|ABCB5|5811|protein_coding|	5811	5573.82	5.18951	0.0180303	ENSG00000004846.16	ABCB5-202
ABCB6	ENST00000265316.8|ENSG00000115657.13|OTTHUMG00000133131.6|OTTHUMT00000256820.4|ABCB6-201|ABCB6|3045|protein_coding|	3045	2807.82	371.779	2.56416	ENSG00000115657.13	ABCB6-201
ABCB7	ENST00000373394.7|ENSG00000131269.16|OTTHUMG00000021862.8|OTTHUMT00000057274.1|ABCB7-203|ABCB7|2353|protein_coding|	2353	2115.82	530.496	4.85549	ENSG00000131269.16	ABCB7-203
ABCB8	ENST00000297504.10|ENSG00000197150.12|OTTHUMG00000158686.4|OTTHUMT00000351733.2|ABCB8-201|ABCB8|2487|protein_coding|	2487	2249.82	440.654	3.79298	ENSG00000197150.12	ABCB8-201
ABCB9	ENST00000546289.5|ENSG00000150967.17|OTTHUMG00000168769.6|OTTHUMT00000400958.2|ABCB9-220|ABCB9|917|protein_coding|	917	679.817	21.5249	0.613166	ENSG00000150967.17	ABCB9-220
ABCC1	ENST00000399410.7|ENSG00000103222.18|OTTHUMG00000048267.5|OTTHUMT00000109701.1|ABCC1-202|ABCC1|6552|protein_coding|	6552	6314.82	3795.71	11.6402	ENSG00000103222.18	ABCC1-202
ABCC10	ENST00000372530.8|ENSG00000124574.14|OTTHUMG00000014733.4|OTTHUMT00000040603.2|ABCC10-204|ABCC10|5033|protein_coding|	5033	4795.82	345.623	1.39563	ENSG00000124574.14	ABCC10-204
ABCC11	ENST00000353782.9|ENSG00000121270.15|OTTHUMG00000133146.4|OTTHUMT00000256844.1|ABCC11-201|ABCC11|4463|protein_coding|	4463	4225.82	1.12946	0.00517596	ENSG00000121270.15	ABCC11-201
ABCC12	ENST00000311303.7|ENSG00000140798.16|OTTHUMG00000133143.5|OTTHUMT00000256837.1|ABCC12-201|ABCC12|5168|protein_coding|	5168	4930.82	0.0	0.0	ENSG00000140798.16	ABCC12-201
ABCC2	ENST00000647814.1|ENSG00000023839.11|OTTHUMG00000018895.7|OTTHUMT00000498695.2|ABCC2-204|ABCC2|5806|protein_coding|	5806	5568.82	21.3675	0.0743055	ENSG00000023839.11	ABCC2-204
ABCC3	ENST00000515707.1|ENSG00000108846.15|OTTHUMG00000162245.5|OTTHUMT00000368088.1|ABCC3-217|ABCC3|656|protein_coding|	656	418.817	1.0	0.0462387	ENSG00000108846.15	ABCC3-217
ABCC4	ENST00000645237.1|ENSG00000125257.14|OTTHUMG00000017216.10|OTTHUMT00000045478.4|ABCC4-215|ABCC4|5856|protein_coding|	5856	5618.82	1384.61	4.77214	ENSG00000125257.14	ABCC4-215
ABCC5	ENST00000334444.10|ENSG00000114770.16|OTTHUMG00000156871.2|OTTHUMT00000346350.1|ABCC5-202|ABCC5|5921|protein_coding|	5921	5683.82	383.583	1.30692	ENSG00000114770.16	ABCC5-202
ABCC6	ENST00000205557.11|ENSG00000091262.15|OTTHUMG00000129967.5|OTTHUMT00000252232.2|ABCC6-201|ABCC6|5747|protein_coding|	5747	5509.82	9.58247	0.0336798	ENSG00000091262.15	ABCC6-201
ABCC8	ENST00000644772.1|ENSG00000006071.13|OTTHUMG00000166316.33|OTTHUMT00000496811.1|ABCC8-238|ABCC8|5336|protein_coding|	5336	5098.82	6.0	0.0227883	ENSG00000006071.13	ABCC8-238
ABCC9	ENST00000261200.8|ENSG00000069431.11|OTTHUMG00000169094.4|OTTHUMT00000402228.2|ABCC9-201|ABCC9|8293|protein_coding|	8293	8055.82	151.793	0.364899	ENSG00000069431.11	ABCC9-201
ABCD1	ENST00000218104.5|ENSG00000101986.11|OTTHUMG00000024215.3|OTTHUMT00000061041.1|ABCD1-201|ABCD1|3664|protein_coding|	3664	3426.82	340.33	1.92326	ENSG00000101986.11	ABCD1-201
ABCD2	ENST00000308666.3|ENSG00000173208.3|OTTHUMG00000169337.1|OTTHUMT00000403591.1|ABCD2-201|ABCD2|6238|protein_coding|	6238	6000.82	1129.0	3.64345	ENSG00000173208.3	ABCD2-201
ABCD3	ENST00000370214.8|ENSG00000117528.12|OTTHUMG00000010717.2|OTTHUMT00000029597.1|ABCD3-202|ABCD3|3538|protein_coding|	3538	3300.82	1124.1	6.59494	ENSG00000117528.12	ABCD3-202
ABCD4	ENST00000356924.8|ENSG00000119688.20|OTTHUMG00000171207.1|OTTHUMT00000314382.1|ABCD4-201|ABCD4|3003|protein_coding|	3003	2765.82	64.7873	0.453624	ENSG00000119688.20	ABCD4-201
ABCE1	ENST00000296577.8|ENSG00000164163.10|OTTHUMG00000161478.3|OTTHUMT00000365104.1|ABCE1-201|ABCE1|3921|protein_coding|	3921	3683.82	4674.21	24.5719	ENSG00000164163.10	ABCE1-201
ABCF1	ENST00000326195.12|ENSG00000204574.12|OTTHUMG00000031094.7|OTTHUMT00000076137.3|ABCF1-201|ABCF1|3481|protein_coding|	3481	3243.82	2094.91	12.5066	ENSG00000204574.12	ABCF1-201
ABCF2	ENST00000287844.6|ENSG00000033050.8|OTTHUMG00000192398.1|OTTHUMT00000336086.1|ABCF2-201|ABCF2|3546|protein_coding|	3546	3308.82	2193.59	12.8384	ENSG00000033050.8	ABCF2-201
ABCF3	ENST00000429586.6|ENSG00000161204.11|OTTHUMG00000156824.1|OTTHUMT00000346047.1|ABCF3-203|ABCF3|2624|protein_coding|	2624	2386.82	908.893	7.37433	ENSG00000161204.11	ABCF3-203
ABCG1	ENST00000361802.6|ENSG00000160179.18|OTTHUMG00000086791.4|OTTHUMT00000195318.2|ABCG1-203|ABCG1|3034|protein_coding|	3034	2796.82	326.337	2.2596	ENSG00000160179.18	ABCG1-203
ABCG2	ENST00000515655.5|ENSG00000118777.11|OTTHUMG00000130601.6|OTTHUMT00000363319.1|ABCG2-204|ABCG2|4276|protein_coding|	4276	4038.82	1.0	0.00479485	ENSG00000118777.11	ABCG2-204
ABCG4	ENST00000619701.4|ENSG00000172350.9|OTTHUMG00000166169.6|OTTHUMT00000388213.5|ABCG4-205|ABCG4|3852|protein_coding|	3852	3614.82	0.0	0.0	ENSG00000172350.9	ABCG4-205
ABCG5	ENST00000260645.5|ENSG00000138075.12|OTTHUMG00000128758.7|OTTHUMT00000250675.1|ABCG5-201|ABCG5|2740|protein_coding|	2740	2502.82	0.0	0.0	ENSG00000138075.12	ABCG5-201
ABCG8	ENST00000645013.1|ENSG00000143921.7|OTTHUMG00000128756.5|OTTHUMT00000250671.2|ABCG8-204|ABCG8|7186|protein_coding|	7186	6948.82	14.1549	0.0394479	ENSG00000143921.7	ABCG8-204
ABHD1	ENST00000621324.4|ENSG00000143994.13|OTTHUMG00000097072.6|-|ABHD1-207|ABHD1|1078|protein_coding|	1078	840.817	4.0	0.0921272	ENSG00000143994.13	ABHD1-207
ABHD10	ENST00000273359.7|ENSG00000144827.8|OTTHUMG00000159280.1|OTTHUMT00000354326.1|ABHD10-201|ABHD10|2590|protein_coding|	2590	2352.82	476.839	3.92476	ENSG00000144827.8	ABHD10-201
ABHD11	ENST00000222800.7|ENSG00000106077.18|OTTHUMG00000130029.4|OTTHUMT00000252306.1|ABHD11-201|ABHD11|1483|protein_coding|	1483	1245.82	132.445	2.05878	ENSG00000106077.18	ABHD11-201
ABHD12	ENST00000339157.9|ENSG00000100997.18|OTTHUMG00000032121.4|OTTHUMT00000078423.2|ABHD12-201|ABHD12|2117|protein_coding|	2117	1879.82	1036.14	10.6741	ENSG00000100997.18	ABHD12-201
ABHD12B	ENST00000353130.5|ENSG00000131969.14|OTTHUMG00000140286.4|OTTHUMT00000276867.1|ABHD12B-202|ABHD12B|1477|protein_coding|	1477	1239.82	0.0	0.0	ENSG00000131969.14	ABHD12B-202
ABHD13	ENST00000375898.3|ENSG00000139826.5|OTTHUMG00000017330.1|OTTHUMT00000045743.1|ABHD13-201|ABHD13|5338|protein_coding|	5338	5100.82	618.0	2.34627	ENSG00000139826.5	ABHD13-201
ABHD14A	ENST00000273596.7|ENSG00000248487.8|OTTHUMG00000157818.2|OTTHUMT00000349689.1|ABHD14A-201|ABHD14A|1062|protein_coding|	1062	824.817	106.064	2.49023	ENSG00000248487.8	ABHD14A-201
ABHD14A-ACY1	ENST00000637222.1|ENSG00000114786.16|OTTHUMG00000166447.7|OTTHUMT00000489115.1|ABHD14A-ACY1-222|ABHD14A-ACY1|1048|protein_coding|	1048	810.817	18.531	0.442595	ENSG00000114786.16	ABHD14A-ACY1-222
ABHD14B	ENST00000361143.9|ENSG00000114779.19|OTTHUMG00000157816.24|OTTHUMT00000349670.1|ABHD14B-202|ABHD14B|1636|protein_coding|	1636	1398.82	746.544	10.3353	ENSG00000114779.19	ABHD14B-202
ABHD15	ENST00000307201.4|ENSG00000168792.4|OTTHUMG00000179721.2|OTTHUMT00000447796.2|ABHD15-201|ABHD15|3592|protein_coding|	3592	3354.82	521.128	3.00819	ENSG00000168792.4	ABHD15-201
ABHD16A	ENST00000395952.7|ENSG00000204427.11|OTTHUMG00000031177.7|OTTHUMT00000076342.4|ABHD16A-201|ABHD16A|2103|protein_coding|	2103	1865.82	449.682	4.6673	ENSG00000204427.11	ABHD16A-201
ABHD16B	ENST00000369916.5|ENSG00000183260.7|OTTHUMG00000033010.2|OTTHUMT00000080254.2|ABHD16B-201|ABHD16B|1491|protein_coding|	1491	1253.82	0.0	0.0	ENSG00000183260.7	ABHD16B-201
ABHD17A	ENST00000292577.11|ENSG00000129968.15|OTTHUMG00000171872.6|OTTHUMT00000415556.2|ABHD17A-202|ABHD17A|1757|protein_coding|	1757	1519.82	1312.76	16.7272	ENSG00000129968.15	ABHD17A-202
ABHD17B	ENST00000333421.6|ENSG00000107362.13|OTTHUMG00000020001.1|OTTHUMT00000052625.1|ABHD17B-201|ABHD17B|2614|protein_coding|	2614	2376.82	376.108	3.06441	ENSG00000107362.13	ABHD17B-201
ABHD17C	ENST00000258884.4|ENSG00000136379.11|OTTHUMG00000172282.1|OTTHUMT00000417652.1|ABHD17C-201|ABHD17C|2368|protein_coding|	2368	2130.82	377.934	3.43479	ENSG00000136379.11	ABHD17C-201
ABHD18	ENST00000513371.1|ENSG00000164074.15|OTTHUMG00000133304.6|OTTHUMT00000363987.2|ABHD18-205|ABHD18|569|protein_coding|	569	331.818	21.1051	1.23173	ENSG00000164074.15	ABHD18-205
ABHD2	ENST00000352732.9|ENSG00000140526.17|OTTHUMG00000148684.5|OTTHUMT00000309074.2|ABHD2-201|ABHD2|8735|protein_coding|	8735	8497.82	2457.72	5.60086	ENSG00000140526.17	ABHD2-201
ABHD3	ENST00000289119.6|ENSG00000158201.9|OTTHUMG00000179099.2|OTTHUMT00000444757.1|ABHD3-201|ABHD3|2064|protein_coding|	2064	1826.82	261.214	2.76905	ENSG00000158201.9	ABHD3-201
ABHD4	ENST00000428304.6|ENSG00000100439.10|OTTHUMG00000028686.7|OTTHUMT00000071623.5|ABHD4-203|ABHD4|3366|protein_coding|	3366	3128.82	318.68	1.97244	ENSG00000100439.10	ABHD4-203
ABHD5	ENST00000458276.7|ENSG00000011198.9|OTTHUMG00000133039.9|OTTHUMT00000495495.1|ABHD5-205|ABHD5|1241|protein_coding|	1241	1003.82	59.0293	1.13879	ENSG00000011198.9	ABHD5-205
ABHD6	ENST00000478253.5|ENSG00000163686.14|OTTHUMG00000159150.2|OTTHUMT00000353511.1|ABHD6-205|ABHD6|2482|protein_coding|	2482	2244.82	84.1401	0.725857	ENSG00000163686.14	ABHD6-205
ABHD8	ENST00000247706.3|ENSG00000127220.5|OTTHUMG00000182663.2|OTTHUMT00000462937.1|ABHD8-201|ABHD8|2090|protein_coding|	2090	1852.82	418.846	4.37775	ENSG00000127220.5	ABHD8-201
ABI1	ENST00000376140.3|ENSG00000136754.17|OTTHUMG00000017848.3|OTTHUMT00000047288.2|ABI1-206|ABI1|1446|protein_coding|	1446	1208.82	474.638	7.6038	ENSG00000136754.17	ABI1-206
ABI2	ENST00000261017.9|ENSG00000138443.15|OTTHUMG00000132879.15|OTTHUMT00000256368.2|ABI2-202|ABI2|6484|protein_coding|	6484	6246.82	718.658	2.22789	ENSG00000138443.15	ABI2-202
ABI3	ENST00000225941.5|ENSG00000108798.8|OTTHUMG00000161306.2|OTTHUMT00000364475.1|ABI3-201|ABI3|2109|protein_coding|	2109	1871.82	1980.27	20.4876	ENSG00000108798.8	ABI3-201
ABI3BP	ENST00000459682.1|ENSG00000154175.16|OTTHUMG00000159094.6|OTTHUMT00000353269.2|ABI3BP-202|ABI3BP|251|protein_coding|	251	65.0506	0.942235	0.280503	ENSG00000154175.16	ABI3BP-202
ABL1	ENST00000318560.5|ENSG00000097007.17|OTTHUMG00000020813.3|OTTHUMT00000054684.1|ABL1-201|ABL1|5766|protein_coding|	5766	5528.82	3067.11	10.743	ENSG00000097007.17	ABL1-201
ABL2	ENST00000502732.5|ENSG00000143322.19|OTTHUMG00000035199.6|OTTHUMT00000085174.3|ABL2-204|ABL2|12144|protein_coding|	12144	11906.8	900.316	1.46429	ENSG00000143322.19	ABL2-204
ABLIM1	ENST00000392952.7|ENSG00000099204.19|OTTHUMG00000019088.8|OTTHUMT00000050477.2|ABLIM1-206|ABLIM1|6841|protein_coding|	6841	6603.82	2946.17	8.63957	ENSG00000099204.19	ABLIM1-206
ABLIM2	ENST00000428004.6|ENSG00000163995.19|OTTHUMG00000057427.25|OTTHUMT00000358861.2|ABLIM2-205|ABLIM2|2573|protein_coding|	2573	2335.82	1.0	0.00829069	ENSG00000163995.19	ABLIM2-205
ABLIM3	ENST00000504238.5|ENSG00000173210.19|OTTHUMG00000129932.3|OTTHUMT00000373437.1|ABLIM3-205|ABLIM3|2774|protein_coding|	2774	2536.82	3.0	0.0229014	ENSG00000173210.19	ABLIM3-205
ABO	ENST00000611156.4|ENSG00000175164.14|OTTHUMG00000020872.6|-|ABO-203|ABO|1577|protein_coding|	1577	1339.82	0.0	0.0	ENSG00000175164.14	ABO-203
ABR	ENST00000302538.9|ENSG00000159842.15|OTTHUMG00000090313.18|OTTHUMT00000206675.4|ABR-202|ABR|5289|protein_coding|	5289	5051.82	3011.71	11.545	ENSG00000159842.15	ABR-202
ABRA	ENST00000311955.3|ENSG00000174429.3|OTTHUMG00000164809.1|OTTHUMT00000380416.1|ABRA-201|ABRA|2755|protein_coding|	2755	2517.82	0.0	0.0	ENSG00000174429.3	ABRA-201
ABRACL	ENST00000367660.3|ENSG00000146386.7|OTTHUMG00000015684.1|OTTHUMT00000042445.1|ABRACL-201|ABRACL|845|protein_coding|	845	607.817	1321.0	42.0881	ENSG00000146386.7	ABRACL-201
ABRAXAS1	ENST00000321945.11|ENSG00000163322.13|OTTHUMG00000130429.17|OTTHUMT00000252818.2|ABRAXAS1-201|ABRAXAS1|4291|protein_coding|	4291	4053.82	132.692	0.633884	ENSG00000163322.13	ABRAXAS1-201
ABRAXAS2	ENST00000298492.5|ENSG00000165660.7|OTTHUMG00000019218.2|OTTHUMT00000050891.2|ABRAXAS2-201|ABRAXAS2|2992|protein_coding|	2992	2754.82	699.0	4.91376	ENSG00000165660.7	ABRAXAS2-201
ABT1	ENST00000274849.2|ENSG00000146109.4|OTTHUMG00000016319.2|OTTHUMT00000043698.2|ABT1-201|ABT1|2949|protein_coding|	2949	2711.82	1226.0	8.75506	ENSG00000146109.4	ABT1-201
ABTB1	ENST00000232744.12|ENSG00000114626.17|OTTHUMG00000159636.1|OTTHUMT00000356595.1|ABTB1-201|ABTB1|1965|protein_coding|	1965	1727.82	120.101	1.3461	ENSG00000114626.17	ABTB1-201
ABTB2	ENST00000435224.2|ENSG00000166016.5|OTTHUMG00000044382.4|OTTHUMT00000388703.3|ABTB2-201|ABTB2|4902|protein_coding|	4902	4664.82	136.0	0.56459	ENSG00000166016.5	ABTB2-201
AC000120.2	ENST00000435873.1|ENSG00000285772.1|OTTHUMG00000131131.6|OTTHUMT00000342057.2|AC000120.2-202|AC000120.2|556|protein_coding|	556	318.82	1.11202	0.0675453	ENSG00000285772.1	AC000120.2-202
AC000120.3	ENST00000650585.1|ENSG00000285953.1|OTTHUMG00000193355.1|OTTHUMT00000500907.1|AC000120.3-201|AC000120.3|2642|protein_coding|	2642	2404.82	77.4791	0.623924	ENSG00000285953.1	AC000120.3-201
AC001226.2	ENST00000638147.1|ENSG00000283208.1|OTTHUMG00000191724.1|OTTHUMT00000489758.1|AC001226.2-201|AC001226.2|1863|protein_coding|	1863	1625.82	0.0	0.0	ENSG00000283208.1	AC001226.2-201
AC002094.3	ENST00000555059.2|ENSG00000273171.1|OTTHUMG00000171457.3|OTTHUMT00000413500.3|AC002094.3-201|AC002094.3|851|protein_coding|	851	613.817	0.0	0.0	ENSG00000273171.1	AC002094.3-201
AC002310.4	ENST00000568114.1|ENSG00000260869.1|OTTHUMG00000176946.2|OTTHUMT00000434396.2|AC002310.4-201|AC002310.4|377|protein_coding|	377	145.203	0.0	0.0	ENSG00000260869.1	AC002310.4-201
AC002996.1	ENST00000546840.2|ENSG00000257767.2|OTTHUMG00000162267.5|OTTHUMT00000405006.4|AC002996.1-201|AC002996.1|784|protein_coding|	784	546.817	81.3085	2.87954	ENSG00000257767.2	AC002996.1-201
