Chromosome	Start	End	Name	Score	Cell	K562
chr1	6317381	6317831	NR2F6	233	K562	True
chr1	6357205	6357655	NR2F6	326	K562	True
chr1	6437967	6438417	NR2F6	222	K562	True
chr1	6439255	6439713	NR2F6	397	HepG2,K562	True
chr1	6579499	6579959	NR2F6	349	HepG2,K562	True
chr1	6581556	6582006	NR2F6	358	K562	True
chr1	6609730	6610180	NR2F6	288	K562	True
chr1	6701566	6702045	NR2F6	633	HepG2,K562	True
chr1	6783765	6784215	NR2F6	167	K562	True
chr1	6794285	6794735	NR2F6	293	K562	True
chr1	6815651	6816101	NR2F6	231	K562	True
chr1	6833741	6834191	NR2F6	288	K562	True
chr1	6860571	6860688	NR2F6	545	K562	True
chr1	6871539	6871989	NR2F6	543	K562	True
chr1	6911153	6911603	NR2F6	342	K562	True
chr1	6953799	6954249	NR2F6	215	K562	True
chr1	6963225	6963675	NR2F6	368	K562	True
chr1	7621932	7622185	NR2F6	1000	K562	True
chr1	7856998	7857680	NR2F6	348	K562	True
chr1	7953911	7954389	NR2F6	772	HepG2,K562	True
chr1	8077301	8078014	NR2F6	1000	HepG2,K562	True
chr1	8122670	8123120	NR2F6	545	K562	True
chr1	8197801	8198241	NR2F6	828	HepG2,K562	True
chr1	8215889	8216339	NR2F6	439	K562	True
chr1	8388921	8389371	NR2F6	333	K562	True
chr1	8439438	8439824	NR2F6	1000	K562	True
chr1	8542150	8542600	NR2F6	408	K562	True
chr1	8626506	8626677	NR2F6	1000	K562	True
chr1	8668209	8668537	NR2F6	1000	HepG2,K562	True
chr1	8676046	8676496	NR2F6	230	K562	True
chr1	8816613	8817063	NR2F6	305	K562	True
chr1	8822739	8822967	NR2F6	1000	K562	True
chr1	8858022	8858714	NR2F6	1000	HepG2,K562	True
chr1	8880046	8880496	NR2F6	521	K562	True
chr1	8899898	8900548	NR2F6	548	HepG2,K562	True
chr1	8900732	8901182	NR2F6	333	K562	True
chr1	9163646	9164290	NR2F6	861	HepG2,K562	True
chr1	9211436	9211886	NR2F6	804	HepG2,K562	True
chr1	9234057	9234519	NR2F6	684	HepG2,K562	True
chr1	9239520	9240006	NR2F6	486	HepG2,K562	True
chr1	9275543	9275789	NR2F6	1000	K562	True
chr1	9626487	9627180	NR2F6	337	K562	True
chr1	9633425	9633875	NR2F6	460	K562	True
chr1	9657490	9657940	NR2F6	391	K562	True
chr1	9717336	9718004	NR2F6	345	HepG2,K562	True
chr1	9759490	9759940	NR2F6	327	K562	True
chr1	9784611	9785266	NR2F6	360	K562	True
chr1	9809221	9809671	NR2F6	429	K562	True
chr1	9929388	9929720	NR2F6	1000	HepG2,K562	True
chr1	10078627	10078743	NR2F6	664	K562	True
chr1	10283155	10283605	NR2F6	297	K562	True
chr1	10414963	10415724	NR2F6	617	K562	True
chr1	10420690	10420883	NR2F6	741	K562	True
chr1	10459301	10459503	NR2F6	1000	K562	True
chr1	10472150	10472663	NR2F6	353	HepG2,K562	True
chr1	10473137	10473587	NR2F6	283	K562	True
chr1	10494984	10495673	NR2F6	224	K562	True
chr1	10511517	10511957	NR2F6	1000	HepG2,K562	True
chr1	10540023	10540473	NR2F6	235	K562	True
chr1	10690556	10690862	NR2F6	1000	K562	True
chr1	11060980	11061632	NR2F6	937	K562	True
chr1	11262657	11263328	NR2F6	242	K562	True
chr1	11360434	11360884	NR2F6	237	K562	True
chr1	11663845	11664295	NR2F6	333	K562	True
chr1	11671364	11671900	NR2F6	461	HepG2,K562	True
chr1	11690392	11690908	NR2F6	856	K562	True
chr1	11692995	11693445	NR2F6	315	K562	True
chr1	11727135	11727599	NR2F6	380	HepG2,K562	True
chr1	11736548	11736707	NR2F6	627	K562	True
chr1	11740743	11741193	NR2F6	480	K562	True
chr1	11749107	11749557	NR2F6	194	K562	True
chr1	11752732	11753000	NR2F6	1000	K562	True
chr1	11790765	11791215	NR2F6	268	K562	True
chr1	11796397	11796847	NR2F6	831	K562	True
chr1	11797726	11797845	NR2F6	988	K562	True
chr1	11798400	11798850	NR2F6	707	K562	True
chr1	11800730	11801180	NR2F6	604	K562	True
chr1	11802528	11802978	NR2F6	296	K562	True
chr1	11842219	11842669	NR2F6	468	K562	True
chr1	11873321	11873977	NR2F6	411	HepG2,K562	True
chr1	11907990	11908695	NR2F6	878	HepG2,K562	True
chr1	11909730	11910190	NR2F6	1000	HepG2,K562	True
chr1	11911504	11911826	NR2F6	1000	HepG2,K562	True
chr1	11934649	11935099	NR2F6	122	K562	True
chr1	11955303	11955559	NR2F6	1000	K562	True
chr1	11979760	11980210	NR2F6	302	K562	True
chr1	11983427	11983877	NR2F6	428	K562	True
chr1	12015054	12015272	NR2F6	804	K562	True
chr1	12034426	12034876	NR2F6	611	K562	True
chr1	12038708	12039006	NR2F6	1000	K562	True
chr1	12040386	12040836	NR2F6	394	K562	True
chr1	12075683	12076133	NR2F6	771	K562	True
chr1	12085710	12085917	NR2F6	977	K562	True
chr1	12161936	12162123	NR2F6	964	K562	True
chr1	12168052	12168502	NR2F6	666	K562	True
chr1	12171570	12172020	NR2F6	410	K562	True
chr1	12175113	12175563	NR2F6	428	K562	True
chr1	12209412	12209862	NR2F6	290	K562	True
chr1	12218490	12218940	NR2F6	659	K562	True
chr1	12324363	12324813	NR2F6	425	K562	True
chr1	12389792	12390242	NR2F6	232	K562	True
chr1	12405505	12405955	NR2F6	507	HepG2,K562	True
chr1	12407306	12407955	NR2F6	225	K562	True
chr1	12408637	12408893	NR2F6	1000	K562	True
chr1	12420173	12420623	NR2F6	331	K562	True
chr1	12441388	12441838	NR2F6	381	K562	True
chr1	12448878	12449164	NR2F6	1000	K562	True
chr1	12454615	12455065	NR2F6	510	K562	True
chr1	12460784	12461234	NR2F6	461	K562	True
chr1	12467231	12467681	NR2F6	280	K562	True
chr1	12473101	12473314	NR2F6	1000	K562	True
chr1	12477958	12478604	NR2F6	664	HepG2,K562	True
chr1	12495567	12496017	NR2F6	256	K562	True
chr1	12528359	12528962	NR2F6	1000	HepG2,K562	True
chr1	12529337	12529777	NR2F6	760	HepG2,K562	True
chr1	12539621	12540071	NR2F6	348	K562	True
chr1	12541644	12542183	NR2F6	996	K562	True
chr1	12549106	12549556	NR2F6	458	HepG2,K562	True
chr1	12549767	12550217	NR2F6	697	K562	True
chr1	12573754	12574204	NR2F6	368	K562	True
chr1	12591013	12591663	NR2F6	661	K562	True
chr1	12604361	12604765	NR2F6	1000	HepG2,K562	True
chr1	12618971	12619265	NR2F6	954	HepG2,K562	True
chr1	12657252	12658038	NR2F6	239	K562	True
chr1	12666906	12667356	NR2F6	346	K562	True
chr1	13808600	13809050	NR2F6	214	K562	True
chr1	13950611	13951061	NR2F6	333	K562	True
chr1	14418111	14418561	NR2F6	379	K562	True
chr1	14435531	14435871	NR2F6	1000	K562	True
chr1	14436939	14437389	NR2F6	953	K562	True
chr1	14455705	14456155	NR2F6	341	K562	True
chr1	14774336	14774988	NR2F6	649	K562	True
chr1	14777771	14778421	NR2F6	499	K562	True
chr1	14779109	14779783	NR2F6	348	K562	True
chr1	14780260	14780710	NR2F6	308	K562	True
chr1	14782749	14783341	NR2F6	1000	K562	True
chr1	14784190	14784318	NR2F6	540	K562	True
chr1	14784673	14785123	NR2F6	284	K562	True
chr1	14788580	14789030	NR2F6	282	K562	True
chr1	14817343	14817793	NR2F6	405	K562	True
chr1	14840441	14840642	NR2F6	941	K562	True
chr1	14893681	14894184	NR2F6	684	K562	True
chr1	14898221	14898671	NR2F6	467	K562	True
chr1	14996661	14997111	NR2F6	643	K562	True
chr1	15017030	15017480	NR2F6	249	K562	True
chr1	15177810	15178260	NR2F6	462	K562	True
chr1	15218398	15218848	NR2F6	377	K562	True
chr1	15260642	15260843	NR2F6	1000	K562	True
chr1	15328696	15329146	NR2F6	236	K562	True
chr1	15340116	15340604	NR2F6	474	HepG2,K562	True
chr1	15358698	15359148	NR2F6	458	K562	True
chr1	15381130	15381580	NR2F6	304	K562	True
chr1	15417407	15417792	NR2F6	1000	K562	True
chr1	15420998	15421448	NR2F6	623	HepG2,K562	True
chr1	15424016	15424466	NR2F6	310	K562	True
chr1	15464268	15464718	NR2F6	392	K562	True
chr1	15501387	15501837	NR2F6	267	K562	True
chr1	15514860	15515310	NR2F6	207	K562	True
chr1	15524478	15524918	NR2F6	807	HepG2,K562	True
chr1	15526543	15527541	NR2F6	333	HepG2,K562	True
chr1	15543596	15544254	NR2F6	844	K562	True
chr1	15674757	15675207	NR2F6	297	K562	True
chr1	15692260	15692710	NR2F6	481	K562	True
chr1	15755593	15756043	NR2F6	476	K562	True
chr1	15780573	15781095	NR2F6	444	HepG2,K562	True
chr1	15788524	15788974	NR2F6	285	K562	True
chr1	15795250	15795443	NR2F6	861	K562	True
chr1	15800320	15800770	NR2F6	834	HepG2,K562	True
chr1	15815490	15815940	NR2F6	261	K562	True
chr1	15846547	15847614	NR2F6	270	HepG2,K562	True
chr1	15849977	15850764	NR2F6	239	HepG2,K562	True
chr1	15952721	15953171	NR2F6	938	K562	True
chr1	15953590	15954040	NR2F6	397	K562	True
chr1	15975399	15975849	NR2F6	484	K562	True
chr1	16007037	16007487	NR2F6	166	K562	True
chr1	16012490	16013566	NR2F6	262	K562	True
chr1	16019823	16020273	NR2F6	302	K562	True
chr1	16067120	16067783	NR2F6	315	HepG2,K562	True
chr1	16140832	16141128	NR2F6	845	K562	True
chr1	16143541	16144265	NR2F6	1000	HepG2,K562	True
chr1	16146225	16146797	NR2F6	694	HepG2,K562	True
chr1	16151490	16151699	NR2F6	1000	K562	True
chr1	16195282	16195732	NR2F6	234	K562	True
chr1	16266552	16266924	NR2F6	1000	K562	True
chr1	16342818	16343045	NR2F6	720	K562	True
chr1	16363279	16363729	NR2F6	491	K562	True
chr1	16391427	16391877	NR2F6	306	K562	True
chr1	16444260	16444710	NR2F6	301	K562	True
chr1	16461519	16461969	NR2F6	257	K562	True
chr1	16513816	16514502	NR2F6	505	HepG2,K562	True
chr1	16644749	16645895	NR2F6	799	HepG2,K562	True
chr1	16678022	16678511	NR2F6	462	HepG2,K562	True
chr1	16890601	16891051	NR2F6	277	K562	True
chr1	16895991	16896441	NR2F6	479	K562	True
chr1	16905263	16905468	NR2F6	723	K562	True
chr1	16921441	16921897	NR2F6	601	HepG2,K562	True
chr1	17053746	17054257	NR2F6	642	HepG2,K562	True
chr1	17149902	17150352	NR2F6	244	K562	True
chr1	17285511	17286298	NR2F6	218	K562	True
chr1	17452674	17453124	NR2F6	433	K562	True
chr1	17472782	17473232	NR2F6	622	K562	True
chr1	17494074	17494524	NR2F6	484	K562	True
chr1	18132029	18132481	NR2F6	1000	HepG2,K562	True
chr1	18204630	18205080	NR2F6	497	K562	True
chr1	18412929	18413071	NR2F6	816	K562	True
chr1	18414789	18415239	NR2F6	359	K562	True
chr1	18415412	18415862	NR2F6	279	K562	True
chr1	18422073	18422523	NR2F6	556	K562	True
chr1	18443823	18444273	NR2F6	250	K562	True
chr1	18530886	18531336	NR2F6	335	K562	True
chr1	18619182	18619632	NR2F6	324	K562	True
chr1	18799212	18799662	NR2F6	287	K562	True
chr1	18807318	18807915	NR2F6	1000	K562	True
chr1	18907362	18907812	NR2F6	306	K562	True
chr1	18908873	18909323	NR2F6	279	K562	True
chr1	18957662	18958319	NR2F6	285	K562	True
chr1	19113271	19113721	NR2F6	371	K562	True
chr1	19138291	19138741	NR2F6	246	K562	True
chr1	19210148	19210588	NR2F6	1000	HepG2,K562	True
chr1	19250827	19251328	NR2F6	367	HepG2,K562	True
chr1	19312718	19313168	NR2F6	228	K562	True
chr1	19337240	19337690	NR2F6	222	K562	True
chr1	19344228	19344710	NR2F6	625	HepG2,K562	True
chr1	19405932	19406382	NR2F6	450	K562	True
chr1	19407753	19408126	NR2F6	1000	K562	True
chr1	19445862	19446521	NR2F6	1000	HepG2,K562	True
chr1	19487631	19488081	NR2F6	221	K562	True
chr1	19508911	19509312	NR2F6	1000	K562	True
chr1	19533599	19534049	NR2F6	382	K562	True
chr1	19582331	19582503	NR2F6	1000	K562	True
chr1	19596629	19597069	NR2F6	902	HepG2,K562	True
chr1	19613170	19613620	NR2F6	229	K562	True
chr1	19743338	19743788	NR2F6	246	K562	True
chr1	19752435	19752681	NR2F6	1000	K562	True
chr1	19863205	19863655	NR2F6	273	K562	True
chr1	20008365	20008815	NR2F6	319	K562	True
chr1	20185475	20186025	NR2F6	936	K562	True
chr1	20187924	20188191	NR2F6	1000	K562	True
chr1	20197446	20197896	NR2F6	391	K562	True
chr1	20198946	20199396	NR2F6	449	K562	True
chr1	20212795	20213245	NR2F6	265	K562	True
chr1	20522212	20522662	NR2F6	207	K562	True
chr1	20576242	20576773	NR2F6	342	HepG2,K562	True
chr1	20589986	20590436	NR2F6	289	K562	True
chr1	20729512	20730017	NR2F6	294	HepG2,K562	True
chr1	21022193	21022643	NR2F6	207	K562	True
chr1	21058066	21058516	NR2F6	276	K562	True
chr1	21175423	21175579	NR2F6	723	K562	True
chr1	21244951	21245409	NR2F6	255	HepG2,K562	True
chr1	21255275	21255930	NR2F6	354	K562	True
chr1	21269670	21270283	NR2F6	1000	HepG2,K562	True
chr1	21320024	21320435	NR2F6	1000	K562	True
chr1	21321064	21321514	NR2F6	267	K562	True
chr1	21354349	21354799	NR2F6	427	K562	True
chr1	21385373	21385823	NR2F6	416	K562	True
chr1	21392992	21393104	NR2F6	852	K562	True
chr1	21401743	21402193	NR2F6	419	K562	True
chr1	21491492	21491942	NR2F6	264	K562	True
chr1	21570115	21570565	NR2F6	345	HepG2,K562	True
chr1	21632159	21632609	NR2F6	604	K562	True
chr1	21638699	21639149	NR2F6	186	K562	True
chr1	21647842	21648292	NR2F6	597	K562	True
chr1	21675975	21676651	NR2F6	1000	K562	True
chr1	21687069	21687519	NR2F6	534	K562	True
chr1	21749853	21750307	NR2F6	1000	K562	True
chr1	21761077	21761726	NR2F6	349	K562	True
chr1	21764680	21764952	NR2F6	1000	K562	True
chr1	21791589	21792039	NR2F6	729	K562	True
chr1	21902433	21902883	NR2F6	802	HepG2,K562	True
chr1	21905134	21905254	NR2F6	1000	K562	True
chr1	21906629	21907079	NR2F6	384	K562	True
chr1	21916879	21917329	NR2F6	301	K562	True
chr1	21933841	21934291	NR2F6	348	K562	True
chr1	21953064	21953514	NR2F6	425	K562	True
chr1	21963918	21964368	NR2F6	253	K562	True
chr1	21966850	21967300	NR2F6	254	K562	True
chr1	22022780	22023230	NR2F6	331	K562	True
chr1	22025839	22026289	NR2F6	482	K562	True
chr1	22285455	22286176	NR2F6	536	HepG2,K562	True
chr1	22296693	22297143	NR2F6	231	K562	True
chr1	22380168	22380828	NR2F6	139	K562	True
chr1	22447545	22447995	NR2F6	399	K562	True
chr1	22451514	22451940	NR2F6	1000	HepG2,K562	True
chr1	22454556	22455006	NR2F6	334	K562	True
chr1	22932694	22933144	NR2F6	246	K562	True
chr1	22997505	22997955	NR2F6	448	K562	True
chr1	23019117	23019567	NR2F6	300	K562	True
chr1	23098699	23099149	NR2F6	284	K562	True
chr1	23101449	23101948	NR2F6	1000	HepG2,K562	True
chr1	23103260	23103710	NR2F6	716	K562	True
chr1	23110800	23111327	NR2F6	918	K562	True
chr1	23115050	23115507	NR2F6	471	HepG2,K562	True
chr1	23288663	23289113	NR2F6	291	K562	True
chr1	23369782	23370232	NR2F6	241	K562	True
chr1	23370678	23371128	NR2F6	333	K562	True
chr1	23384441	23385098	NR2F6	551	K562	True
chr1	23478848	23479511	NR2F6	1000	HepG2,K562	True
chr1	23484638	23485088	NR2F6	390	K562	True
chr1	23539766	23540216	NR2F6	769	HepG2,K562	True
chr1	23544662	23545112	NR2F6	319	K562	True
chr1	23554181	23554631	NR2F6	271	K562	True
chr1	23558311	23558761	NR2F6	243	K562	True
chr1	23596996	23597446	NR2F6	386	K562	True
chr1	23616982	23617432	NR2F6	285	K562	True
chr1	23637312	23637762	NR2F6	230	K562	True
chr1	23664870	23665232	NR2F6	1000	K562	True
chr1	23685171	23685621	NR2F6	341	K562	True
chr1	23716165	23716615	NR2F6	297	K562	True
chr1	23745260	23745710	NR2F6	206	K562	True
chr1	23777762	23778212	NR2F6	416	K562	True
chr1	23790041	23790548	NR2F6	273	HepG2,K562	True
chr1	23867578	23868028	NR2F6	265	K562	True
chr1	23872438	23872888	NR2F6	525	K562	True
chr1	23914049	23914499	NR2F6	307	K562	True
chr1	23920887	23921337	NR2F6	124	K562	True
chr1	23958894	23959550	NR2F6	284	K562	True
chr1	23964992	23965442	NR2F6	109	K562	True
chr1	23977777	23978217	NR2F6	1000	HepG2,K562	True
chr1	23980421	23980871	NR2F6	296	K562	True
chr1	24045944	24046137	NR2F6	788	K562	True
chr1	24322148	24322598	NR2F6	426	K562	True
chr1	24416798	24417473	NR2F6	626	K562	True
chr1	24591208	24591658	NR2F6	89	K562	True
chr1	24591899	24592080	NR2F6	518	K562	True
chr1	24688529	24688979	NR2F6	587	HepG2,K562	True
chr1	24724851	24725487	NR2F6	674	HepG2,K562	True
chr1	24765458	24765738	NR2F6	1000	K562	True
chr1	24952694	24952810	NR2F6	715	K562	True
chr1	25187470	25187974	NR2F6	431	HepG2,K562	True
chr1	25216096	25216546	NR2F6	230	K562	True
chr1	25216861	25217311	NR2F6	354	K562	True
chr1	25219652	25220302	NR2F6	278	K562	True
chr1	25232982	25233639	NR2F6	1000	HepG2,K562	True
chr1	25246128	25246568	NR2F6	1000	HepG2,K562	True
chr1	25322044	25322494	NR2F6	219	K562	True
chr1	25355336	25356083	NR2F6	166	K562	True
chr1	25369928	25370378	NR2F6	287	K562	True
chr1	25476563	25477013	NR2F6	265	K562	True
chr1	25477485	25477651	NR2F6	1000	K562	True
chr1	25482198	25482648	NR2F6	350	K562	True
chr1	25485486	25486313	NR2F6	159	K562	True
chr1	25526745	25527185	NR2F6	957	HepG2,K562	True
chr1	25542106	25542556	NR2F6	597	K562	True
chr1	25695040	25695490	NR2F6	311	K562	True
chr1	25760205	25760452	NR2F6	939	K562	True
chr1	25760914	25761364	NR2F6	554	K562	True
chr1	25780984	25781434	NR2F6	456	K562	True
chr1	25784664	25785114	NR2F6	671	K562	True
chr1	25810789	25811239	NR2F6	526	HepG2,K562	True
chr1	25819825	25820275	NR2F6	417	K562	True
chr1	25859668	25860118	NR2F6	338	K562	True
chr1	25861459	25862186	NR2F6	412	HepG2,K562	True
chr1	25890341	25890555	NR2F6	938	K562	True
chr1	25895423	25895873	NR2F6	277	K562	True
chr1	25917962	25918412	NR2F6	494	K562	True
chr1	25923428	25923878	NR2F6	183	K562	True
chr1	25933381	25933831	NR2F6	1000	K562	True
chr1	25993566	25994016	NR2F6	390	K562	True
chr1	25996978	25997428	NR2F6	1000	HepG2,K562	True
chr1	25997900	25998616	NR2F6	463	HepG2,K562	True
chr1	26015329	26015779	NR2F6	515	K562	True
chr1	26036462	26036902	NR2F6	645	HepG2,K562	True
chr1	26070381	26070831	NR2F6	814	K562	True
chr1	26078727	26078897	NR2F6	876	K562	True
chr1	26118681	26119131	NR2F6	183	K562	True
chr1	26123099	26123864	NR2F6	223	K562	True
chr1	26126353	26126803	NR2F6	821	K562	True
chr1	26130431	26130881	NR2F6	234	K562	True
chr1	26174314	26174764	NR2F6	220	K562	True
chr1	26177925	26178375	NR2F6	363	K562	True
chr1	26189305	26189984	NR2F6	1000	HepG2,K562	True
chr1	26190316	26190766	NR2F6	397	K562	True
chr1	26201054	26201504	NR2F6	662	K562	True
chr1	26234835	26235285	NR2F6	209	K562	True
chr1	26268345	26268795	NR2F6	334	K562	True
chr1	26280329	26280779	NR2F6	99	K562	True
chr1	26284649	26285099	NR2F6	670	K562	True
chr1	26287075	26287367	NR2F6	1000	K562	True
chr1	26288570	26288744	NR2F6	988	K562	True
chr1	26317712	26317874	NR2F6	766	K562	True
chr1	26321464	26321914	NR2F6	206	K562	True
chr1	26337636	26338076	NR2F6	596	HepG2,K562	True
chr1	26350689	26351164	NR2F6	1000	HepG2,K562	True
chr1	26351768	26352218	NR2F6	1000	HepG2,K562	True
chr1	26376803	26377253	NR2F6	363	K562	True
chr1	26378577	26378689	NR2F6	758	K562	True
chr1	26380727	26381390	NR2F6	350	K562	True
chr1	26387429	26387737	NR2F6	1000	HepG2,K562	True
chr1	26403691	26404141	NR2F6	232	K562	True
chr1	26408488	26408938	NR2F6	263	K562	True
chr1	26430649	26431099	NR2F6	331	K562	True
chr1	26481009	26481535	NR2F6	357	HepG2,K562	True
chr1	26530664	26531261	NR2F6	1000	HepG2,K562	True
chr1	26546811	26547261	NR2F6	264	K562	True
chr1	26581213	26581895	NR2F6	213	K562	True
chr1	26584134	26584584	NR2F6	622	K562	True
chr1	26620493	26621170	NR2F6	457	HepG2,K562	True
chr1	26621407	26621857	NR2F6	84	K562	True
chr1	26633713	26634163	NR2F6	502	K562	True
chr1	26666787	26667237	NR2F6	348	K562	True
chr1	26677503	26677953	NR2F6	307	K562	True
chr1	26692281	26692731	NR2F6	656	K562	True
chr1	26693074	26693530	NR2F6	430	HepG2,K562	True
chr1	26694543	26695193	NR2F6	252	K562	True
chr1	26698134	26698584	NR2F6	615	K562	True
chr1	26721912	26722027	NR2F6	846	K562	True
chr1	26771667	26772107	NR2F6	1000	HepG2,K562	True
chr1	26784042	26784658	NR2F6	1000	HepG2,K562	True
chr1	26786271	26786721	NR2F6	134	K562	True
chr1	26786860	26787310	NR2F6	546	K562	True
chr1	26789302	26789752	NR2F6	245	K562	True
chr1	26791598	26792048	NR2F6	219	K562	True
chr1	26828868	26829018	NR2F6	755	K562	True
chr1	26910498	26910948	NR2F6	1000	HepG2,K562	True
chr1	26913927	26914638	NR2F6	1000	HepG2,K562	True
chr1	26966908	26967358	NR2F6	320	HepG2,K562	True
chr1	27012914	27013397	NR2F6	541	HepG2,K562	True
chr1	27045889	27046329	NR2F6	1000	HepG2,K562	True
chr1	27065459	27065909	NR2F6	256	K562	True
chr1	27074250	27074534	NR2F6	1000	K562	True
chr1	27097375	27097825	NR2F6	304	K562	True
chr1	27099128	27099859	NR2F6	336	HepG2,K562	True
chr1	27115637	27116087	NR2F6	688	K562	True
chr1	27148391	27148841	NR2F6	296	K562	True
chr1	27155097	27155746	NR2F6	605	HepG2,K562	True
chr1	27157192	27157642	NR2F6	543	K562	True
chr1	27321887	27322337	NR2F6	239	K562	True
chr1	27348734	27349478	NR2F6	1000	HepG2,K562	True
chr1	27364393	27364725	NR2F6	1000	HepG2,K562	True
chr1	27365341	27365791	NR2F6	220	K562	True
chr1	27367226	27367676	NR2F6	426	HepG2,K562	True
chr1	27428231	27428681	NR2F6	473	K562	True
chr1	27488659	27489262	NR2F6	1000	HepG2,K562	True
chr1	27490365	27491219	NR2F6	308	HepG2,K562	True
chr1	27513345	27513817	NR2F6	276	HepG2,K562	True
chr1	27525854	27526304	NR2F6	380	K562	True
chr1	27538702	27539152	NR2F6	450	K562	True
chr1	27542379	27543122	NR2F6	1000	HepG2,K562	True
chr1	27562005	27562455	NR2F6	275	K562	True
chr1	27563506	27563956	NR2F6	953	HepG2,K562	True
chr1	27569725	27570190	NR2F6	1000	HepG2,K562	True
chr1	27571991	27572640	NR2F6	1000	HepG2,K562	True
chr1	27607238	27607764	NR2F6	1000	HepG2,K562	True
chr1	27608552	27609002	NR2F6	636	K562	True
chr1	27682477	27682940	NR2F6	338	HepG2,K562	True
chr1	27725306	27725795	NR2F6	313	HepG2,K562	True
chr1	27779596	27780324	NR2F6	280	K562	True
chr1	27867279	27867581	NR2F6	1000	K562	True
chr1	27943306	27943684	NR2F6	1000	HepG2,K562	True
chr1	27957619	27958069	NR2F6	679	K562	True
chr1	27979511	27979961	NR2F6	730	K562	True
chr1	28062838	28063288	NR2F6	100	K562	True
chr1	28065495	28066266	NR2F6	297	K562	True
chr1	28118597	28119047	NR2F6	731	K562	True
chr1	28132707	28133157	NR2F6	752	K562	True
chr1	28154832	28155212	NR2F6	1000	HepG2,K562	True
chr1	28172809	28172943	NR2F6	831	K562	True
chr1	28236948	28237398	NR2F6	646	K562	True
chr1	28248545	28249195	NR2F6	236	K562	True
chr1	28258891	28259331	NR2F6	865	HepG2,K562	True
chr1	28263545	28263985	NR2F6	777	HepG2,K562	True
chr1	28266905	28267355	NR2F6	284	K562	True
chr1	28328705	28329155	NR2F6	270	K562	True
chr1	28346110	28346560	NR2F6	522	K562	True
chr1	28351540	28351990	NR2F6	295	K562	True
chr1	28356037	28356487	NR2F6	303	K562	True
chr1	28358722	28359172	NR2F6	730	K562	True
chr1	28366539	28366989	NR2F6	241	K562	True
chr1	28376188	28376840	NR2F6	354	HepG2,K562	True
chr1	28412853	28413303	NR2F6	226	K562	True
chr1	28417510	28418160	NR2F6	405	K562	True
chr1	28479477	28479927	NR2F6	173	K562	True
chr1	28501069	28501519	NR2F6	314	K562	True
chr1	28504695	28505145	NR2F6	100	K562	True
